uraian pekerjaan,section,pekerjaan,satuan,volume,harga satuan,nilai,bobot
"Pas Besi Hollow 60 x 60 mm, tebal 3 mm",III. PEKERJAAN LANTAI I,D. PEKERJAAN  KONSOL TERAS LANTAI I,kg,32.67,25195.293750,823130.246813,0.0172
Plat Pengaku tebal 10 mm,III. PEKERJAAN LANTAI I,D. PEKERJAAN  KONSOL TERAS LANTAI I,kg,28.296,25195.293750,712926.031950,0.0149
Plat Simpul tebal 12 mm,III. PEKERJAAN LANTAI I,D. PEKERJAAN  KONSOL TERAS LANTAI I,kg,28.296,25195.293750,712926.031950,0.0149
Mur + baut  Ø16 mm,III. PEKERJAAN LANTAI I,D. PEKERJAAN  KONSOL TERAS LANTAI I,kg,52.64,25195.293750,1326280.263000,0.0278
Pekerjaan perakitan+pengelasan,III. PEKERJAAN LANTAI I,D. PEKERJAAN  KONSOL TERAS LANTAI I,kg,493.3,30734.594000,15161375.220200,0.3175
Bekisting (Kolom K1 40x40 cm),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m2,224,186029.800000,41670675.200000,0.8726
Pembesian (besi ulir) (Kolom K1 40x40 cm),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,2986.2,11629.200000,34727117.040000,0.7272
Pembesian (besi polos) (Kolom K1 40x40 cm),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,546,11196.075000,6113056.950000,0.128
Cor Beton K.250 (Kolom K1 40x40 cm),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m3,22.4,973704.997222,21810991.937778,0.4567
Bekisting (Balok B1 30x65 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m2,56.1,189371.050000,10623715.905000,0.2225
Pembesian (besi ulir) (Balok B1 30x65 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,847.275,11629.200000,9853130.430000,0.2063
Pembesian (besi polos) (Balok B1 30x65 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,187.6875,11196.075000,2101363.326563,0.044
Cor Beton K.250 (Balok B1 30x65 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m3,6.55875,973704.997222,6386287.650531,0.1337
Bekisting (Balok B2 20x45 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m2,191.5736,189371.050000,36278493.784280,0.7597
Pembesian (besi ulir) (Balok B2 20x45 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,2548.3744,11629.200000,29635555.572480,0.6206
Pembesian (besi polos) (Balok B2 20x45 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,666.0524,11196.075000,7457172.624330,0.1561
Cor Beton K.250 (Balok B2 20x45 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m3,14.70216,973704.997222,14315566.661961,0.2998
Bekisting (Balok B3 20x40 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m2,83.1136,189371.050000,15739309.701280,0.3296
Pembesian (besi ulir) (Balok B3 20x40 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,1023.6096,11629.200000,11903760.760320,0.2493
Pembesian (besi polos) (Balok B3 20x40 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,298.5528,11196.075000,3342619.540260,0.07
Cor Beton K.250 (Balok B3 20x40 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m3,6.12416,973704.997222,5963125.195788,0.1249
Bekisting (Balok B4 15x30 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m2,4.08,189371.050000,772633.884000,0.0162
Pembesian (besi polos) (Balok B4 15x30 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,72.56,11196.075000,812387.202000,0.017
Cor Beton K.250 (Balok B4 15x30 cm Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m3,0.216,973704.997222,210320.279400,0.0044
Bekisting (Plat Lantai Tebal 12 cm  Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m2,352.504,189371.050000,66754052.609200,1.3978
Pembesian (besi polos) (Plat Lantai Tebal 12 cm  Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,3488.500267,11196.075000,39057510.623120,0.8178
Cor Beton K.250 (Plat Lantai Tebal 12 cm  Elv.8.00),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m3,51.95976,973704.997222,50593477.966467,1.0594
Bekisting (Balok Bordes 15x30 cm ),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m2,5.304,189371.050000,1004424.049200,0.021
Pembesian (besi polos) (Balok Bordes 15x30 cm ),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,94.57066667,11196.075000,1058820.276800,0.0222
Cor Beton K.250 (Balok Bordes 15x30 cm ),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m3,0.2808,973704.997222,273416.363220,0.0057
Bekisting (Plat Tangga Tebal 12 cm),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m2,35.022,189371.050000,6632152.913100,0.1389
Pembesian (besi polos) (Plat Tangga Tebal 12 cm),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,kg,756.6173333,11196.075000,8471144.410300,0.1774
Cor Beton K.250 (Plat Tangga Tebal 12 cm),IV. PEKERJAAN LANTAI II,A. PEKERJAAN STRUKTUR LT. II Elv. 4.00 s/d 8.00,m3,4.09656,973704.997222,3988840.943421,0.0835
"Pasangan Bata Ringan setara, uk. 60 x 20 x 10 cm (Pekerjaan Pasangan dan Plesteran Lt. II)",IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,614.9946,128190.494578,78836461.936992,1.6508
Plesteran Dinding Hebel/Celcon dng Mortar Instan (Pekerjaan Pasangan dan Plesteran Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,1229.9892,59438.236000,73108388.347051,1.5308
Acian dinding (Pekerjaan Pasangan dan Plesteran Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,1229.9892,35879.800000,44131766.498160,0.9241
Pas.kolom praktis 11/11 cm (Pekerjaan Pasangan dan Plesteran Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m',108,69945.645000,7554129.660000,0.1582
Pas. Balok latei 10/15 cm (Pekerjaan Pasangan dan Plesteran Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m',58.8,91008.362500,5351291.715000,0.1121
Plat kanopi tebal 7 cm (Pekerjaan Pasangan dan Plesteran Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m3,1.2432,3752746.945750,4665415.002956,0.0977
Plat meja wastafel tebal 7 cm (Pekerjaan Pasangan dan Plesteran Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m3,0.1106,3752746.945750,415053.812200,0.0087
"Pas. Railing Stainless Steel (Pipa Dia 2"" & Pipa dia 1"") (Pekerjaan Pasangan dan Plesteran Lt. II)",IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m',16.34,425313.388500,6949620.768090,0.1455
Pengecatan Dinding luar (Pekerjaan Pengecatan Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,366.313825,39679.750000,14535240.997544,0.3044
Pengecatan Dinding dalam (Pekerjaan Pengecatan Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,614.9946,21152.670000,13008777.825582,0.2724
Pengecatan Plafond (Pekerjaan Pengecatan Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,414.33,17778.750000,7366269.487500,0.1542
Pas. Homogeneus Tile 60x60 cm lantai ruang (Polish) (Pekerjaan Lantai Dan Dinding Keramik Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,368.92,186423.600000,68775394.512000,1.4401
Pas. Homogeneus Tile 60x60 cm lantai toilet (Un Polish)  (Pekerjaan Lantai Dan Dinding Keramik Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,30.06,189449.975000,5694866.248500,0.1192
Pas. Homogeneus Tile 20x60 cm tangga  (Un Polish)  (Pekerjaan Lantai Dan Dinding Keramik Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,26.208,188246.584167,4933566.477840,0.1033
Pas. Step Nossing 10x60 cm tangga (Pekerjaan Lantai Dan Dinding Keramik Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m',26,49709.302500,1292441.865000,0.0271
Pas. Plint granit 10x60 cm (Polish) (Pekerjaan Lantai Dan Dinding Keramik Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m',188.23,43070.802500,8107217.154575,0.1698
Pas. Homogeneus Tile 60x60 cm lantai kamar mandi (Un Polish) (Pekerjaan Lantai Dan Dinding Keramik Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,18.48,189449.975000,3501035.538000,0.0733
Pas. Homogeneus Tile 30x60 cm dinding kamar mandi (Polish) (Pekerjaan Lantai Dan Dinding Keramik Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,61.452,219454.042500,13485889.819710,0.2824
Pas. Homogeneus Tile 60x60 cm Meja wastafel (Polish) (Pekerjaan Lantai Dan Dinding Keramik Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,1.58,186423.600000,294549.288000,0.0062
Pas. Homogeneus Tile 30x60 cm dinding wastafel (Polish) (Pekerjaan Lantai Dan Dinding Keramik Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,17.46,219454.042500,3831667.582050,0.0802
Pek. Plafond Gybsum Board 9 mm Rangka Hollow 4/4 dan 2/4 (Pekerjaan Plafond Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m2,414.33,89867.910000,37234971.150300,0.7797
Pas. Lis Profil 10 cm (Pekerjaan Plafond Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,m1,285.45,29432.700000,8401564.215000,0.1759
Kusen + Pintu type P2  (steel door) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,Unit,4,4970000.000000,19880000.000000,0.4163
Kusen + Pintu type P3  (steel door) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,Unit,6,3550000.000000,21300000.000000,0.446
Kusen + Pintu type P4  (steel door) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,Unit,2,1952500.000000,3905000.000000,0.0818
Kusen + Jendela J1 (aluminium warna putih) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,Unit,12,2390131.313064,28681575.756773,0.6006
Kusen + Jendela J2 (aluminium warna putih) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,Unit,2,2743483.686798,5486967.373595,0.1149
Kusen + Glassblok J3 (aluminium warna putih) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,Unit,2,490543.140100,981086.280199,0.0205
Kusen BV1 (aluminium warna putih) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,Unit,8,260071.998033,2080575.984263,0.0436
Kusen BV2 (aluminium warna putih) (Pekerjaan Pasangan Kusen Pintu Dan Jendela Lt. II),IV. PEKERJAAN LANTAI II,B. PEKERJAAN ARSITEKTUR LANTAI II,Unit,2,468824.597716,937649.195432,0.0196
"Pas. Kloset Jongkok (komplit) (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,6,535264.400000,3211586.400000,0.0672
"Pas.  Wastafel ( komplit) (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,4,976685.600000,3906742.400000,0.0818
"Pas. Floordrain 3"" Stainles Steel (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,6,60555.000000,363330.000000,0.0076
"Pas. Kran air 1/2"" Stainles Steel (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,12,71000.000000,852000.000000,0.0178
"Pas. Kran Watafel  (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,4,106500.000000,426000.000000,0.0089
"Inst. Air Bersih (PVC.3/4 "") + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,m1,50,19938.634375,996931.718750,0.0209
"Inst. Air Bersih (PVC.1 "") + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,m1,25,22520.815625,563020.390625,0.0118
"Inst. Air Buangan (PVC. 3"" ) + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,m1,35,52870.743750,1850476.031250,0.0387
"Inst. Pipa Buangan air padat (PVC. 4"" ) + acc. (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,m1,27,109678.731250,2961325.743750,0.062
"Timba (kamar mandi) (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,6,130000.000000,780000.000000,0.0163
"Kaca cermin uk. 80 x 160 cm (Pekerjaan Air Bersih dan Air Kotor, Buangan dan Vent Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,2,200000.000000,400000.000000,0.0084
Panel Lantai 2 ( PP - 2A ) (Pekerjaan Elektrikal Lt. II),IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,unit',1,4000000.000000,4000000.000000,0.0838
Kabel dari  Panel utama  ke panel ( PP - 2A ) lantai 2  (Pekerjaan Elektrikal Lt. II),IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,mtr,10,45000.000000,450000.000000,0.0094
Lampu I RM 300 LED   2 x 18 Watt (Pekerjaan Elektrikal Lt. II),IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,18,382744.150000,6889394.700000,0.1443
Lampu Down Light RD 100 LED 10 Watt (Pekerjaan Elektrikal Lt. II),IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,28,210244.150000,5886836.200000,0.1233
Saklar Tunggal (Pekerjaan Elektrikal Lt. II),IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,4,60602.850000,242411.400000,0.0051
Saklar Ganda  (Pekerjaan Elektrikal Lt. II),IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,10,64507.850000,645078.500000,0.0135
Stop Kontak (Pekerjaan Elektrikal Lt. II),IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,22,61383.850000,1350444.700000,0.0283
Stop Kontak AC (Pekerjaan Elektrikal Lt. II),IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,bh,6,61383.850000,368303.100000,0.0077
"Instalasi Kabel NYM 3 x 2,5 mm²  Lampu, dalam pipa  (Pekerjaan Elektrikal Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,titik,46,164355.950000,7560373.700000,0.1583
"Instalasi Kabel NYM 3 x 2,5 mm²  Stop Kontak, dalam pipa (Pekerjaan Elektrikal Lt. II)",IV. PEKERJAAN LANTAI II,C. PEKERJAAN ELEKTRIKAL LANTAI II,titik,28,194619.700000,5449351.600000,0.1141
Bekisting (Kolom K1 40x40 cm Elv.8.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m2,224,186029.800000,41670675.200000,0.8726
Pembesian (besi ulir) (Kolom K1 40x40 cm Elv.8.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,2986.2,11629.200000,34727117.040000,0.7272
Pembesian (besi polos) (Kolom K1 40x40 cm Elv.8.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,527.8,11196.075000,5909288.385000,0.1237
Cor Beton K.250 (Kolom K1 40x40 cm Elv.8.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m3,22.4,973704.997222,21810991.937778,0.4567
Bekisting (Balok B1 30x65 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m2,12.95,189371.050000,2452355.097500,0.0514
Pembesian (besi ulir) (Balok B1 30x65 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,204.61,11629.200000,2379450.612000,0.0498
Pembesian (besi polos) (Balok B1 30x65 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,63.13125,11196.075000,706822.209844,0.0148
Cor Beton K.250 (Balok B1 30x65 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m3,1.52625,973704.997222,1486117.252010,0.0311
Bekisting (Balok B3 20x40 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m2,114.016,189371.050000,21591329.636800,0.4521
Pembesian (besi ulir) (Balok B3 20x40 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,1333.9872,11629.200000,15513203.946240,0.3248
Pembesian (besi polos) (Balok B3 20x40 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,389.0796,11196.075000,4356164.382570,0.0912
Cor Beton K.250 (Balok B3 20x40 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m3,8.5512,973704.997222,8326346.172247,0.1743
Bekisting (Balok B4 15x30 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m2,40.7055,189371.050000,7708443.275775,0.1614
Pembesian (besi polos) (Balok B4 15x30 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,671.2707,11196.075000,7515597.102503,0.1574
Cor Beton K.250 (Balok B4 15x30 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m3,2.2203,973704.997222,2161917.205333,0.0453
Bekisting (Balok BK 20x40 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m2,9.36,189371.050000,1772513.028000,0.0371
Pembesian (besi ulir) (Balok BK 20x40 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,99.84,11629.200000,1161059.328000,0.0243
Pembesian (besi polos) (Balok BK 20x40 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,49.14,11196.075000,550175.125500,0.0115
Cor Beton K.250 (Balok BK 20x40 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m3,0.72,973704.997222,701067.598000,0.0147
Bekisting (Balok BR 15x20 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m2,16.108,189371.050000,3050388.873400,0.0639
Pembesian (besi polos) (Balok BR 15x20 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,207.3905,11196.075000,2321959.592288,0.0486
Cor Beton K.175 (Balok BR 15x20 cm Elv.12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m3,1.2081,861922.141667,1041288.139348,0.0218
Bekisting (Plat tandon Tebal 12 cm  Elv. 12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m2,32.198,189371.050000,6097369.067900,0.1277
Pembesian (besi polos) (Plat tandon Tebal 12 cm  Elv. 12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,581.7584,11196.075000,6513410.678280,0.1364
Cor Beton K.250 (Plat tandon Tebal 12 cm  Elv. 12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m3,4.4448,973704.997222,4327923.971653,0.0906
Bekisting (Plat Atap & Plat talang beton Tebal 10 cm  Elv. 12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m2,86.70725,189371.050000,16419842.975113,0.3438
Pembesian (besi polos) (Plat Atap & Plat talang beton Tebal 10 cm  Elv. 12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,kg,1027.675,11196.075000,11505926.375625,0.2409
Cor Beton K.250 (Plat Atap & Plat talang beton Tebal 10 cm  Elv. 12.00),V. PEKERJAAN LANTAI III,A. PEKERJAAN STRUKTUR LT. III Elv 8.00 s/d 12.00,m3,10.175,973704.997222,9907448.346736,0.2075
"Pasangan Bata Ringan, uk. 60 x 20 x 10 cm (Pekerjaan Pasangan dan Plesteran Lt. III)",V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m2,576.2476,128190.494578,73869464.843566,1.5468
Plesteran Dinding Hebel/Celcon dng Mortar Instan (Pekerjaan Pasangan dan Plesteran Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m2,1152.4952,59438.236000,68502281.686467,1.4344
Acian dinding (Pekerjaan Pasangan dan Plesteran Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m2,1152.4952,35879.800000,41351297.276960,0.8659
Pas.kolom praktis 11/11 cm (Pekerjaan Pasangan dan Plesteran Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m',92,69945.645000,6434999.340000,0.1347
Pas. Balok latei 10/15 cm (Pekerjaan Pasangan dan Plesteran Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m',58.8,91008.362500,5351291.715000,0.1121
Plat kanopi tebal 7 cm (Pekerjaan Pasangan dan Plesteran Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m3,1.2432,3752746.945750,4665415.002956,0.0977
Plat meja wastafel tebal 7 cm (Pekerjaan Pasangan dan Plesteran Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m3,0.1106,3752746.945750,415053.812200,0.0087
"Pas. Railing Stainless Steel (Pipa Dia 2"" & Pipa dia 1"") (Pekerjaan Pasangan dan Plesteran Lt. III)",V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m',9.68,425313.388500,4117033.600680,0.0862
"Pas. Tangga ke tandon Stainless Steel (Pipa Dia 1,5"") (Pekerjaan Pasangan dan Plesteran Lt. III)",V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m',7.54,300000.000000,2262000.000000,0.0474
Pengecatan Dinding luar (Pekerjaan Pengecatan Lt. III),V. PEKERJAAN LANTAI III,B. PEKERJAAN ARSITEKTUR LANTAI III,m2,327.566825,39679.750000,12997769.724294,0.2722
